ID_REF,pancreatic cancer saliva-1,pancreatic cancer saliva-2,pancreatic cancer saliva-3,pancreatic cancer saliva-4,pancreatic cancer saliva-5,pancreatic cancer saliva-6,pancreatic cancer saliva-7,pancreatic cancer saliva-8,pancreatic cancer saliva-9,pancreatic cancer saliva-10,pancreatic cancer saliva-11,pancreatic cancer saliva-12,Healthy control saliva-1,Healthy control saliva-2,Healthy control saliva-3,Healthy control saliva-4,Healthy control saliva-5,Healthy control saliva-6,Healthy control saliva-7,Healthy control saliva-8,Healthy control saliva-9,Healthy control saliva-10,Healthy control saliva-11,Healthy control saliva-12
212856_at,1.06,0,0.6,0.57,0,0,4.08,0,1.15,5.39,0,0,0,0,1.76,0,7.29,0,0.26,1.62,0.11,0,0.01,0
212857_x_at,10.63,2.58,2.76,0,0,2.42,4.11,1.62,0.01,5.75,0,1.14,2.33,0.01,0,4.92,4.05,0,0,4.34,9.45,0.65,13.59,0
212858_at,2.7,0.91,17.68,6.26,0,19.18,1.01,1.28,1.88,28.35,2.19,0.45,1.32,3.8,1.09,2.69,5.28,1.35,5.91,0.18,53.13,0.66,2.81,0.18
212859_x_at,321.49,392.99,272.2,494.39,363.84,270.97,269.46,259.75,207.75,336.93,327.94,220.64,406.97,316.47,359.81,266.08,247.9,289.43,247.92,249.28,248.96,334.72,210.13,457.89
212860_at,7.63,5.7,4.04,0.82,6.22,0.7,23.05,15.69,0.01,1.71,0,6.04,15.77,2.48,10.81,1.84,15.51,2.05,2.93,1.25,17.87,16.41,4.31,5.91
212861_at,109.89,93.48,167.24,140.3,106.92,313.38,136.84,241.25,0.21,160.45,115.98,337.93,114.5,172.36,139.16,293.54,80.93,84.92,248.96,376.43,350.59,258.68,249.57,103.17
212862_at,95.25,46.86,4.88,52.49,25.7,183.98,102.06,125.64,96.58,95.95,27.22,80.97,36.03,91.92,40.44,152.28,83.66,49.96,127.14,177.85,4.28,97.71,93.34,67.35
212863_x_at,0.01,56.58,0.01,0.02,11.91,47.98,49.13,41.86,0.04,4.7,74.28,0.01,14.98,52.32,13.38,0.02,46.81,0.02,0.01,85.21,0,23.34,232.55,0.02
212864_at,0,5.69,0,5.48,0,0,0,0,1.06,2.15,1.66,0.01,0.16,0,0,0.01,2.46,3.66,2.2,0,5.82,4.63,3.01,0
212865_s_at,0,0.86,8.22,0,0,7.99,2.48,4.73,56.64,2.1,2.26,9.84,0.11,3.39,1.4,32.41,1.21,1.2,0,14.26,0.57,1.18,0.02,0.88
212866_at,0.01,3.41,0,0,0.93,6.71,5.18,1.06,5.28,0,1.49,2.18,0.52,0.61,2.72,1.95,5.19,0.19,0.25,1.19,0.01,0,0,1.11
212867_at,0,0.91,4.92,0.81,4.41,0.01,2.35,0,0,2.11,0,0,1.33,2.75,0.69,9.9,0,0,1.88,0.01,0,0.91,0,0.01
212868_x_at,0,0.39,0,0.52,0.75,0.98,0,0,1.97,1.38,1.74,1.28,0.97,2.16,0,3.53,2.94,0.03,2.96,1.78,0.49,3.61,1.21,3.47
212869_x_at,18.07,6.35,140.1,96.9,6.58,2.93,12.86,41.7,7.16,47.1,90.32,6.71,71.02,17.17,11.77,1325.21,1203.67,0.02,586.1,858.66,1345.84,11.58,1261.94,0.48
212870_at,0.86,1.3,10.47,0.35,0.01,0.59,4.64,3.19,0.83,0,1.13,2.14,1.57,0,0.15,2.47,0.4,1.3,0,0,0,1.23,14.03,4.23
212871_at,2.72,0.05,21.21,5.69,1.93,0.02,9.68,1.07,0.01,17.52,9.91,0.83,2.43,8.43,6.38,1.34,2.6,0,1.81,6.6,12.79,12.86,2.52,0
212872_s_at,3.66,3.19,1.89,1.58,4.48,3.75,0,0.01,0.01,2.35,10.85,5.01,0.01,2.87,4.61,1.51,1.14,0,3.96,0.82,0.01,3.48,0,5.58
212873_at,0.01,0,54.72,0,8.87,3.9,0.02,33.41,0,26.15,0.01,56.38,10.68,15.41,23.07,0,67.28,25.24,0.03,65.58,0.4,5.63,87.52,23.42
212874_at,0,0.78,2.32,0.39,0,2.16,2.77,0.53,0,0.88,0.12,0.01,0.01,0,5.09,3.97,5.41,0.36,0,0.01,0,1.52,1.14,0.19
212875_s_at,12.11,17.25,354.45,10.71,5.52,289.43,330.03,369.97,349.46,161.67,41.2,214,5.98,76.36,5.89,405.46,406.95,28.82,361.42,341.25,442.94,3.97,369.7,7.9
212876_at,3.54,0.01,0.01,2.35,2.19,0,0,0.01,0.01,6.09,2.21,0,3.85,0.08,2.31,3.12,0.46,3.17,0.65,0.01,1.96,0.79,2.46,0.22
212877_at,5.58,5.36,0,0,0,0,0,0.35,5.14,0,0.06,2.48,0,0,5.81,0,0,0,0,0,1.63,0,0,0
212878_s_at,0,0,0.01,0.01,0,0.13,0,0.89,0.01,5.98,0,2.7,3.11,0,6.09,0,1.13,1.27,4.54,0,0.01,0.94,0.32,0
212879_x_at,0.65,3.02,1.28,0,3,2.37,0,0,2.83,3.48,0,2.27,0.02,1.52,0.22,1.87,3.73,0.9,0,0,0.9,0.23,1.86,1.83
212880_at,84.07,83.83,327.39,86.11,526.38,316.05,255.64,206.61,418.91,340.97,99.48,315.16,179.82,137.09,107.38,335.08,27.49,192.36,377.78,244.33,32.83,162.44,32.82,62.52
