ID_REF,Healthy control saliva-lc1,Healthy control saliva-lc2,Healthy control saliva-lc3,Healthy control saliva-lc4,Healthy control saliva-lc5,Healthy control saliva-lc6,Healthy control saliva-lc7,Healthy control saliva-lc8,Healthy control saliva-lc9,Healthy control saliva-lc10,Lung cancer saliva-1,Lung cancer saliva-2,Lung cancer saliva-3,Lung cancer saliva-4,Lung cancer saliva-5,Lung cancer saliva-6,Lung cancer saliva-7,Lung cancer saliva-8,Lung cancer saliva-9,Lung cancer saliva-10
1561544_at,2.2223,0.0000774011,0.0000557019,0.00103008,1.99928,0.00108731,1.25603,0.744631,0.151096,0.465114,3.24371,0.000593531,0.000991445,0.00177147,0.000611928,0.00196117,0.00147024,0.00104378,0.000287721,0.000900426
1561545_at,1.29657,2.67833,1.20307,0.00112157,0.000702269,0.000620387,0.0015528,3.46112,1.44411,0.000977732,0.00061498,0.000705232,0.00280595,2.07914,0.00152546,0.00183659,0.00068445,0.00112669,0.373379,0.00105166
1561546_at,0.000255293,0.0000819067,1.29448,4.52641,1.49002,1.12243,1.62338,0.56675,0.914821,1.86439,1.3182,0.857224,0.436453,0.00431629,2.21346,0.320519,1.46297,0.435117,0.004588,0.624686
1561550_at,2.16604,2.78188,1.31543,0.997188,0.000807104,0.00225462,3.34759,0.905857,0.00157925,0.00420632,0.00128739,0.612838,0.357823,0.00111342,0.580284,0.390907,0.00191382,0.00237759,5.65158,0.00561788
1561553_at,0.853124,2.38073,1.24985,1.81582,0.0363405,0.0112971,1.25415,1.57159,2.46271,0.0468922,0.00494089,0.00584886,1.76631,1.53065,1.31069,0.82533,0.00227835,0.00157764,1.27581,0.937175
1561554_at,0.964697,1.60019,0.903964,51.5003,66.3497,0.00175123,0.000898586,0.851813,0.655137,1.60138,0.976736,1.77168,2.67975,2.41673,0.526727,0.747123,1.03758,0.00492531,0.0623079,0.880846
1561555_at,1.24586,1.16284,1.65977,1.17158,0.00209442,0.00259686,0.973025,0.640756,0.847564,1.66734,0.00746601,0.205486,0.100423,0.00171136,0.015418,5.40096,0.00150124,0.879381,0.000973512,0.00481543
1561556_at,2.02399,2.64575,1.40212,0.374935,0.863216,0.00149218,1.53951,1.27152,0.00189456,0.00241372,0.715745,0.00114167,5.01437,0.962796,0.000591412,1.30225,0.00125294,0.00205142,0.00117094,0.218685
1561557_at,0.000108704,1.6031,0.000159439,0.484737,0.444438,2.08506,2.64209,8.91486,0.714636,1.75615,1.36371,0.000866902,0.00340227,0.000607531,0.0259109,8.88404,2.13259,6.01897,0.000951277,24.2056
1561558_at,3.35052,0.965467,0.000164934,2.6504,0.168515,0.0118868,0.418032,0.00205018,0.9611,0.268062,0.498963,3.52776,0.356351,0.000751573,0.49323,0.00228379,0.707001,0.00187883,0.992403,0.40627
1561559_at,2.98148,3.69622,0.000150178,2.20011,0.0369235,1.37675,0.610368,1.07775,4.49284,2.05712,0.00255494,0.813849,1.22422,7.94471,0.00215782,1.19298,1.54003,9.04595,0.0039863,4.71226
1561560_at,2.0736,3.34733,0.000712434,3.33808,0.00369865,0.00948609,1.84741,1.46857,1.1964,3.18695,0.18696,0.00301095,0.0242909,1.3361,6.27803,0.0205204,0.454715,0.24111,0.769649,0.398885
1561561_x_at,1.72555,1.10792,1.21845,0.356103,0.000947565,2.81239,0.000857368,0.00423656,0.227058,0.000706856,0.259567,0.000537613,0.000780965,1.46806,0.000874624,2.10377,0.000590062,0.00227962,0.000475524,0.000467909
1561562_at,1.90244,1.50456,0.000231203,1.61928,0.00124414,0.595322,2.88219,0.00751033,0.568944,0.491785,1.88532,1.67182,0.323484,0.00191743,6.48052,0.160899,2.71221,0.00167369,1.02011,0.000791987
1561564_at,0.0000825052,1.17877,0.000223844,1.33549,2.82683,0.000781047,0.00156774,0.414095,1.10754,0.000947667,1.12536,1.04689,0.000975296,2.32558,0.00728704,0.00224945,0.0665616,1.42475,0.95924,1.14013
1561565_at,2.41181,0.000114303,0.0000709795,1.66861,3.71213,0.00890497,0.12115,0.00244491,1.85608,0.537919,0.0779224,1.34132,0.000469249,0.000870663,0.490261,0.824214,3.2459,0.00223775,0.00443586,0.00221275
1561566_at,13.6246,0.0000583,2.083,0.0043051,0.17855,0.800094,2.7744,0.335823,0.00128767,0.00911578,0.00186452,0.00141081,3.96708,0.335453,0.677605,0.635058,1.3587,0.000787277,0.00128895,1.13846
1561567_at,1.21572,2.62622,1.90012,2.50928,0.00240378,0.982337,1.37164,0.00549462,0.670642,0.0717185,0.537835,0.590829,2.31556,0.00676994,2.53902,1.04411,1.51593,0.0141412,0.506488,2.50075
1561571_at,81.646,3.04263,4.25252,646.723,44.595,103.672,146.141,159.759,155.756,103.48,301.742,42.7299,522.528,515.277,209.627,315.871,491.8,480.468,289.84,867.573
1561572_at,1.4771,0.0000976775,0.0000420868,0.00246809,0.000719048,4.80868,0.0798088,0.56996,0.507171,1.63346,2.06482,1.14672,0.863811,0.0477478,3.00061,0.802933,2.72724,1.83892,0.00111616,1.33637
1561573_at,1.55698,2.50731,0.0000606779,0.00135067,2.9437,0.74456,0.0020354,0.00866496,1.3179,0.00171588,0.00164576,1.67741,0.161456,0.0430089,0.00192631,2.20294,2.23879,1.30536,0.0726453,0.162514
1561574_at,0.000098525,0.0000731808,1.1433,0.000838139,0.350034,0.286206,0.556131,1.58908,0.00202681,3.00003,0.00848001,0.534475,0.0167721,0.307942,2.3344,0.964179,0.00141725,1.28906,0.696117,2.33728
1561575_at,2.60166,2.36164,0.0000972037,1.77336,0.00428944,1.28935,4.32858,0.196243,0.790969,1.76719,4.35011,2.76469,1.16688,0.192595,2.65079,2.41583,0.209486,2.21721,1.5883,0.00156011
1561576_a_at,17.0306,0.0000772877,1.30864,0.00148012,0.00156135,0.0663218,181.569,179.301,68.131,218.281,940.656,136.287,208.257,134.535,0.0514737,140.587,613.425,178.324,165.433,504.219
1561577_at,0.000233471,1.37957,0.000628681,0.000513547,1.67731,0.00109752,0.00094591,0.0783108,0.000623194,0.000769959,0.167434,0.635721,0.00102159,0.424828,1.43351,0.000756218,0.000672836,0.307031,0.00475654,1.25529
1561578_s_at,2.21392,0.00032552,1.06464,0.00172387,2.16071,0.518972,0.0033997,0.000815448,1.14495,1.33054,0.47958,0.215231,0.0168324,0.237224,10.056,0.00420223,0.0177449,0.00102352,0.53832,1.02124
1561579_at,10.7537,5.96938,3.73196,99.4343,166.806,13.4271,32.676,12.4504,4.69372,8.25282,37.3135,8.73607,4.24021,13.5923,6.14965,62.4213,8.32996,16.1781,10.5221,45.6294
1561581_at,0.808978,1.10917,1.10896,0.101015,0.000676873,0.00311627,0.00279603,2.42547,0.176131,0.436239,0.00284348,3.77431,0.282647,0.527922,0.753084,0.000513338,0.00126578,0.00452778,0.342663,0.421209
