ID_REF,Breast cancer saliva-1,Breast cancer saliva-2,Breast cancer saliva-3,Breast cancer saliva-4,Breast cancer saliva-5,Breast cancer saliva-6,Breast cancer saliva-7,Breast cancer saliva-8,Breast cancer saliva-9,Breast cancer saliva-10,Healthy control saliva-bc1,Healthy control saliva-bc2,Healthy control saliva-bc3,Healthy control saliva-bc4,Healthy control saliva-bc5,Healthy control saliva-bc6,Healthy control saliva-bc7,Healthy control saliva-bc8,Healthy control saliva-bc9,Healthy control saliva-bc10
229243_at,45.64,9.55,31.36,0.36,0.59,24.07,2.31,73.72,54.53,44.2,92.5,2.86,1.22,6.85,51.46,90.34,43.22,0.94,4.43,5.93
229244_at,4.37,0.15,4.03,0,1.56,2.46,1.71,3.78,7.31,0.01,1.71,7.43,6.22,6.92,1.27,0.26,4.33,4.32,2.02,1.89
229245_at,39.92,5.98,21.82,11.64,0,83.7,5.65,42.55,49.84,2.32,13.59,14.31,7.69,7.69,8.81,4.02,17.3,12.07,6.85,21.67
229246_at,6.08,9.63,4.15,0.01,1.91,2.7,6.98,5.04,12.97,8.35,15.72,3.47,5.31,2.82,18.18,1.39,16.06,6.91,4.78,6.47
229247_at,543.96,464.1,437.83,377.99,349.03,253.07,738.18,501.1,690.78,421.74,524.8,576.55,311.36,250.66,362.75,848.12,346.53,280.19,255.83,347.13
229248_at,0.05,2.74,28.43,0.21,0,0,5.53,0.37,0.37,2.61,0,2.85,0.26,0,3.25,3.38,0.61,1.29,0,0
229249_at,9.08,7.28,6.06,0,4.53,2.6,6.26,3.74,5.02,3.44,2.42,8.38,7.93,4.2,3.78,0.01,2.14,3.74,6.04,8.72
229250_at,5.45,0,1.56,0.01,1.59,1.59,2.72,6.42,0.68,5.83,6.9,0,0.01,3.91,4.7,0.01,0.04,6.74,1.71,8.28
229251_s_at,5.47,0.92,2.86,0,4.46,9.16,1.78,0,0,6.07,0,0.43,0,4.51,12.63,0.01,2.01,0.87,8.62,2.06
229252_at,6.14,2.84,0.01,2.32,3.73,0.58,4.44,0,0.01,1.08,0,0.72,2.28,0.01,0,0,0,0.24,0,21.9
229253_at,1.89,0,5.34,1.78,0.44,2.05,1.78,0.47,0.56,2.33,4.1,3.39,32.45,1.29,2.37,6.23,6.04,13.67,2.63,0
229254_at,0.01,0.22,2.24,0,0,4.86,0.28,4.06,2.48,2.38,5.86,6.63,0.51,0,0.18,0,0.31,0.01,0,0
229255_x_at,72.43,92.25,21.5,2.85,13.75,3.48,10.43,0.7,3.49,2.75,4.57,21.1,117.51,14.64,7.27,1.38,24,46.56,9.47,36.78
229256_at,7.43,13.68,22.1,11.85,1.81,9.79,8.1,28.84,12.57,21.1,0.01,10.98,14.1,23.56,0.97,0.01,85.86,1.24,4.24,25.06
229257_at,0.01,0,0.77,0.77,0.79,1.44,4.84,2.99,4.74,0,0,1.28,3.91,5.81,0,0.73,0,0,0.92,4.73
229258_at,32.39,5.54,9.85,16.82,3.17,4.4,8.99,3.13,142.01,6.28,79.01,23.57,23.53,109.06,257.63,53.98,27.85,20.15,9.4,4.3
229259_at,368.23,503.42,555.3,526.15,406.48,448.84,407.89,455.79,467.25,250.51,394.28,233.23,254.85,305.75,602.43,223.65,241.23,416.95,471.36,292.78
