TMEM67,RBM8A,UBA6,PAPPA,SMEK2,KHDRBS1,YWHAZ,TAX1BP1,BAZ2A,PSMC6,NBAS,EDEM1,FLI1,GPSM3,RYR1,HSPH1,DUT,IKBKB,ITSN2,SLC25A1,HSP90AA1,ZFAND5,MAGEA10,ELL2,HIGD1A,KLF4,ABHD17B,BVES,EVA1A,RP11-53O19.3,Cancer
11.9206,65.66362,37.84424,109.3726,769.31,6510.871,4627.4,8708.877,716.7654,14576.15,640.958,750.5751,207.7808,1366.537,263.0258,1074.129,1079.772,729.7052,1531.056,105.4679,5601.757,3841.839,23.1454,16.2375,57302.69,412.1124,74.0432,301.7629,504.3753,523.9236,1
708.3782,159.0449,281.9276,49.50591,127.6864,976.7826,281.4974,8703.821,53.89728,13363.86,69.82321,157.4504,73.68429,278.3766,36.82262,923.5877,55.28624,615.2336,802.9901,852.5431,1396.856,3320.711,33.8058,527.5554,11793.64,587.8703,171.3902,698.2822,441.4326,333.3088,1
69.57159,651.292,52.30783,30.30608,781.7824,1973.259,82.93974,1563.313,1163.042,672.3128,526.7211,673.756,177.0868,377.8423,777.6351,625.8779,1597.868,408.6712,163.1543,738.1597,2740.368,1145.681,46.7498,1021.369,3190.327,72.74027,356.5878,156.2726,113.4856,502.3087,1
70.53679,112.6023,31.87219,36.89577,474.3469,4031.442,1915.281,8064.132,243.2147,5702.666,123.0081,126.4717,1098.932,3626.875,914.8074,123.4058,1159.798,1151.281,2820.074,1102.575,2985.479,5256.253,568.4655,182.3166,4552.962,460.6796,86.9175,168.8702,33.39109,179.2869,1
74.97775,48.68043,50.15353,316.7467,59.08286,351.6822,809.5278,1200.082,120.6771,1331.753,47.18462,121.24,852.6233,1140.255,39.39128,46.96978,75.01275,45.26863,49.67045,1276.637,561.6365,112.4499,65.04134,444.9643,1224.894,553.1862,62.87727,653.0216,192.3897,1607.718,1
154.5728,216.3112,143.2007,110.9168,117.8944,897.4317,714.8006,2413.632,1154.527,47.11995,88.23095,45.78749,950.9885,2012.932,780.3306,505.5974,356.8746,84.98663,975.0458,1029.749,1100.925,451.2072,753.1408,67.69282,864.9528,406.8947,279.898,627.4977,138.4126,916.396,1
17.31047,422.9829,350.4204,712.461,326.2169,7609.416,3262.174,7650.145,1173.629,2560.83,607.3183,1237.771,2052.97,5188.594,626.193,58.47084,545.9467,188.4571,250.7414,256.5669,3323.106,3585.371,109.0814,375.8927,4219.869,284.9019,892.2422,389.6529,169.2807,493.1136,1
263.9867,489.3306,50.34114,26.82995,33.74363,2926.859,6355.58,14212.19,462.7728,6872.115,926.1366,458.9237,808.4106,2155.735,363.6644,295.0989,411.9117,342.7813,1424.183,811.0646,1675.405,3854.977,729.3448,382.5725,5586.131,211.3874,44.70085,455.3022,257.2792,45.80115,1
359.1565,59.21395,43.39528,34.54057,433.1888,7398.378,3079.628,11933.6,1272.034,19179.69,596.5964,1181.143,2015.33,1970.458,227.4449,1301.284,718.6683,320.3489,551.8983,49.80776,5331.391,7043.957,122.9854,381.4527,28491.64,491.6018,281.3826,96.84872,782.265,517.6653,1
28.85945,35.1453,96.92185,114.7735,781.3648,3051.937,5611.212,12718.63,788.9404,14030.94,37.3215,1030.432,1052.421,2360.256,769.7815,504.0405,66.02834,734.1464,821.7964,233.2503,5053.625,6018.482,189.5041,51.97154,11038.24,40.08829,588.1227,565.1651,160.322,47.77343,1
